,Flight Record,Flight Date (Exact),Tail Number,Airframe,Fleet,Takeoff Airport Code,Landing Airport Code,P14: Event Record,P14: Event Type,P14: Severity,P14: False Positive,P14: Start of Event - 10 seconds Seconds (From Start of File),P14: End of Event + 10 seconds Seconds (From Start of File),P14: Data Dropouts (seconds),P14: Error b/w GMT and Recorded Time around event (%),P14: Estimated Nav Error at Start of Event (nm),P14: Standard Deviation of Sample Rate of GMT (Event Interval +/- 30 Seconds (Hz),P14: Flap Handle Position at Start of Event,P14: Speed Brake Handle Position at Start of Event (deg),P14: Flap Position at Start of Event (deg+=TED),P14: Duration of Event (Seconds),P14: Terrain Elevation at Start of Event (ft),P14: Uncertainty in Touchdown Position based on Recorded Position (ft),target
0,2988125,2020-11-20 06:41:20+00:00,VH-VYA,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,41044602,Climb Speed High,Level 2,Not a False Positive,913.0,934.0,6.0,0.0005548650568181819,0.03423667351967585,0.0,5.0,0.36704155802726746,5.251278232883763,1.0,8.093144416809082,99.99999181704001,0
1,2988125,2020-11-20 06:41:20+00:00,VH-VYA,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,41044603,Rotation Speed High,Level 3,Not a False Positive,901.0,921.0,6.0,0.00133514404296875,0.014450338079643837,0.0,5.0,0.4587097465991974,5.251278232883763,0.0,5.879393577575684,99.99999181704001,0
2,2989196,2020-11-22 22:40:26+00:00,VH-VZK,737-800,QFA - 737-800 (1024 wps),YBMK,YBBN,41044145,Deviation Left of Localizer 500 to 200 ft AGL,Level 2,Bad Parameter: Cause Unknown,4742.0,4784.75,0.0,0.001320112398752189,0.07940970168675379,0.0,30.0,3.837063789367676,30.371152242024742,22.75,-8.44417667388916,99.99999181704001,1
3,2990823,2020-11-24 21:54:24+00:00,VH-XZH,737-800,QFA - 737-800 (1024 wps),YPPH,YSOL,41043490,Pitch Rate Low During Rotation,Level 2,Not a False Positive,509.5,533.5,2.0,-0.0017104610320060483,0.028311381112876836,0.0,1.0,-0.7344724535942078,1.016927768022586,4.0,49.570852279663086,99.99999181704001,0
4,2990823,2020-11-24 21:54:24+00:00,VH-XZH,737-800,QFA - 737-800 (1024 wps),YPPH,YSOL,41043485,High Vertical Acceleration at Landing,Level 2,Not a False Positive,5884.5,5910.5,2.0,-0.0004359654017857143,0.04034785939126403,0.0,40.0,3.655111789703369,40.0,6.0,1997.6826171875,99.99999181704001,0
5,2990930,2020-11-25 04:50:36+00:00,VH-VZU,737-800,QFA - 737-800 (1024 wps),YBBN,YBTL,41043412,Rotation Speed High,Level 2,Not a False Positive,561.0,581.0,2.0,-9.5367431640625e-05,0.6145983440413799,0.0,15.0,-1.4703545570373535,15.058636983235676,0.0,30.425827026367188,99.99999181704001,0
6,2992095,2020-11-26 23:53:08+00:00,VH-VYI,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,41042869,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,6672.0,6699.0,2.0,0.0001862293153297244,0.030174740988281337,0.0,30.0,3.928011894226074,30.371152242024742,7.0,14.764761924743652,99.99999181704001,0
7,2985640,2020-11-15 00:13:34+00:00,VH-XZJ,737-800,QFA - 737-800 (1024 wps),YPPH,YBBN,41046394,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,495.5,515.5,0.0,-5.9604644775390625e-06,0.3810626871151496,0.0,5.0,-1.1942540407180786,5.084998672072952,0.0,51.32545852661133,99.99999181704001,0
8,2993182,2020-11-29 01:16:47+00:00,VH-VYI,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,41042354,Airborne Speed High,Level 2,Not a False Positive,957.0,977.0,4.0,-9.5367431640625e-05,0.027169510388384804,0.0,5.0,-1.0102835893630981,5.180015563964844,0.0,12.843025207519531,99.99999181704001,0
9,2993182,2020-11-29 01:16:47+00:00,VH-VYI,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,41042353,Rotation Speed High,Level 2,Not a False Positive,951.25,971.25,4.0,-9.5367431640625e-05,0.010080008971212364,0.0,5.0,-1.1022591590881348,5.180015563964844,0.0,9.231614112854004,99.99999181704001,0
10,2993244,2020-11-29 03:51:56+00:00,VH-VXL,737-800,QFA - 737-800 (1024 wps),YSSY,YMHB,41042319,High Vertical Acceleration at Landing,Level 3,Not a False Positive,6194.25,6220.25,0.0,0.0005858285086495536,0.006343259382787446,0.0,30.0,3.2909817695617676,29.892607371012367,6.0,12.925994634628296,99.99999181704001,0
11,2993244,2020-11-29 03:51:56+00:00,VH-VXL,737-800,QFA - 737-800 (1024 wps),YSSY,YMHB,41042318,GPWS: Sink Rate,Level 2,Not a False Positive,6182.0,6204.0,0.0,-0.0002126224705430328,0.014865717614459754,0.0,30.0,3.199902296066284,29.892607371012367,2.0,-3.8346664905548096,99.99999181704001,0
12,2993419,2020-11-29 08:11:03+00:00,VH-VXQ,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41042180,Pitch Attitude High During Rotation (Gears Extended),Level 3,Bad Parameter: Synchronization Error,54.0,74.0,5.0,322.4987030029297,0.14632060451757367,0.0,5.0,-0.6425739526748657,5.156261340991871,0.0,117.76292419433594,99.99999181704001,1
13,2993419,2020-11-29 08:11:03+00:00,VH-VXQ,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41042178,Pitch Rate Low During Rotation,Level 2,Bad Parameter: Synchronization Error,54.0,78.0,5.0,312.0952852310673,0.14632060451757367,0.0,5.0,-0.6425739526748657,5.156261340991871,4.0,117.76292419433594,99.99999181704001,1
14,2993806,2020-11-30 07:08:37+00:00,VH-VZC,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41041833,High Speed Below 5000 ft AAL,Level 2,Not a False Positive,3370.0,3402.0,2.0,-0.0007455999200994319,0.15658445466875984,0.0,0.0,33.569557189941406,0.009501702882148124,12.0,468.33636474609375,99.99999181704001,0
15,2994083,2020-11-30 23:15:53+00:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,41041586,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,295.25,315.25,0.0,-0.00152587890625,0.03208030159501337,0.0,5.0,-0.0457046980591258,5.180015563964844,0.0,12.433302402496338,99.99999181704001,0
16,2995110,2020-12-03 00:32:50+00:00,VH-VZZ,737-800,QFA - 737-800 (1024 wps),YBMA,YBBN,41040683,Deep Touchdown,Level 2,Not a False Positive,8189.75,8209.75,0.0,-9.5367431640625e-05,0.05229436407505477,0.0,30.0,5.242414236068726,30.136777242024742,0.0,34.46571636199951,99.99999181704001,0
17,2996242,2020-12-04 02:57:23+00:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YPDN,YSSY,41040152,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,7670.0,14327.0,2.5,5.193904816301613e-06,0.18097658333871214,0.0,0.0,-1.378301739692688,0.004750851441074062,6637.0,317.5852905273438,99.99999181704001,1
18,2996505,2020-12-04 21:22:14+00:00,VH-XZE,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,41039880,Climb Speed High,Level 2,Not a False Positive,518.0,542.0,0.0,0.0010582708543346775,0.20212918500011215,0.0,5.0,-0.27517226338386536,5.1087528950459244,4.0,389.4091796875,99.99999181704001,0
19,2996563,2020-12-04 23:30:35+00:00,VH-XZE,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,41039841,Airborne Speed High,Level 2,Not a False Positive,418.0,438.0,2.0,-0.00152587890625,0.002544114687452003,0.0,5.0,-0.27517226338386536,5.1087528950459244,0.0,17.522977828979492,99.99999181704001,0
20,2996654,2020-12-05 01:33:41+00:00,VH-XZE,737-800,QFA - 737-800 (1024 wps),YMML,YBCG,41039796,Airborne Speed High,Level 2,Not a False Positive,623.0,643.0,9.0,-9.5367431640625e-05,0.027056088765748765,0.0,5.0,-0.4588346481323242,5.1087528950459244,0.0,367.8804016113281,99.99999181704001,0
21,2996654,2020-12-05 01:33:41+00:00,VH-XZE,737-800,QFA - 737-800 (1024 wps),YMML,YBCG,41039795,Rotation Speed High,Level 2,Not a False Positive,616.0,636.0,9.0,-9.5367431640625e-05,0.02562049074105815,0.0,5.0,-0.4588346481323242,5.1087528950459244,0.0,352.2796936035156,99.99999181704001,0
22,2996979,2020-12-05 07:02:10+00:00,VH-VYF,737-800,QFA - 737-800 (1024 wps),YBTL,YBBN,41039656,Deep Touchdown,Level 2,Not a False Positive,5973.5,5993.5,0.0,-9.5367431640625e-05,0.08333238693057893,0.0,30.0,4.200743198394775,30.019589742024742,0.0,33.13945770263672,99.99999181704001,0
23,2987738,2020-11-19 00:18:52+00:00,VH-VZY,737-800,QFA - 737-800 (1024 wps),YBMA,YBBN,41045015,Deep Touchdown,Level 2,Not a False Positive,8203.75,8223.75,0.0,-9.5367431640625e-05,0.055344751729718415,0.0,30.0,6.683785915374756,29.980497996012367,0.0,33.39947509765625,99.99999181704001,0
24,2976576,2020-10-28 06:08:15+00:00,VH-VYF,737-800,QFA - 737-800 (1024 wps),YBBN,YBMK,41050245,Airborne Speed High,Level 2,Not a False Positive,532.0,552.0,19.0,-9.5367431640625e-05,0.2955991126563742,0.0,5.0,-0.7344724535942078,5.013735487654403,0.0,22.70954132080078,99.99999181704001,0
25,2988397,2020-11-20 07:26:58+00:00,VH-XZO,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,41044546,GPWS: Windshear Warning,Level 2,Not a False Positive,4945.0,4969.0,0.0,0.0010582708543346775,0.04946117733524706,0.0,30.0,4.0189409255981445,30.195370992024742,4.0,36.962120056152344,99.99999181704001,0
26,2976061,2020-10-27 05:37:37+00:00,VH-XZC,737-800,QFA - 737-800 (1024 wps),YBBN,YBMK,41050444,Airborne Speed High,Level 2,Not a False Positive,1085.0,1105.0,14.0,-9.5367431640625e-05,0.04773354850347458,0.0,5.0,-1.1022591590881348,5.084998672072952,0.0,10.090848922729492,99.99999181704001,0
27,2988912,2020-11-22 06:37:31+00:00,VH-VZK,737-800,QFA - 737-800 (1024 wps),YPAD,YBBN,41044305,Airborne Speed High,Level 2,Not a False Positive,498.0,518.0,0.0,-9.5367431640625e-05,0.3197765711626461,0.0,5.0,-1.1942540407180786,5.227524009910789,0.0,14.236063003540039,99.99999181704001,0
28,2975966,2020-10-26 23:54:19+00:00,VH-VZK,737-800,QFA - 737-800 (1024 wps),YNWN,YPPH,41050545,GPWS: Don't Sink,Level 2,Bad Parameter: Bad Sensor on Airplane,438.0,514.0,0.0,0.0005548650568181819,0.0130791845857475,0.0,5.0,-0.36699384450912476,5.227524009910789,56.0,1712.8919677734375,99.99999181704001,1
29,2987758,2020-11-19 04:08:46+00:00,VH-VZY,737-800,QFA - 737-800 (1024 wps),YBBN,YPPH,41045095,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,515.25,535.25,0.0,-9.5367431640625e-05,0.47979655076372213,0.0,5.0,-1.1942540407180786,5.013735487654403,0.0,9.097270727157593,99.99999181704001,0
30,2989933,2020-11-24 01:42:34+00:00,VH-XZI,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,41043766,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,455.75,475.75,0.0,-5.9604644775390625e-06,0.46608506472302225,0.0,5.0,-1.7466291189193726,5.132507118018898,0.0,8.853137016296387,99.99999181704001,0
31,2989933,2020-11-24 01:42:34+00:00,VH-XZI,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,41043763,Climb Speed Low,Level 2,Not a False Positive,464.0,485.0,0.0,-0.00015447947604597107,0.3266423299686316,0.0,5.0,-1.7466291189193726,5.132507118018898,1.0,10.169914245605469,99.99999181704001,0
32,2987560,2020-11-18 05:55:31+00:00,VH-VZL,737-800,QFA - 737-800 (1024 wps),YPPH,YSOL,41045186,Rotation Speed High,Level 2,Not a False Positive,330.75,350.75,16.0,-9.5367431640625e-05,0.05432438300197513,0.0,1.0,-1.2862682342529297,1.0034061334072015,0.0,48.7310094833374,99.99999181704001,0
34,2986292,2020-11-16 02:55:52+00:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YPDN,YSSY,41045916,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,397.25,417.25,7.0,-9.5367431640625e-05,0.5904215616480273,0.0,15.0,-1.1942540407180786,15.527386983235678,0.0,85.18008613586426,99.99999181704001,0
35,2985640,2020-11-15 00:13:34+00:00,VH-XZJ,737-800,QFA - 737-800 (1024 wps),YPPH,YBBN,41046393,Rotation Speed Low,Level 2,Not a False Positive,490.0,510.0,0.0,-5.066394805908203e-05,0.39612428140923744,0.0,5.0,-1.2862682342529297,5.084998672072952,0.0,49.287471771240234,99.99999181704001,0
38,2984400,2020-11-09 05:50:05+00:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,41047122,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,935.25,955.25,0.0,-9.5367431640625e-05,0.04102412030772867,0.0,1.0,-1.2402611374855042,1.0034061334072015,0.0,9.411607027053833,99.99999181704001,0
39,2967699,2020-10-10 00:07:35+00:00,VH-VXA,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41053711,Airborne Speed High,Level 3,Not a False Positive,655.0,675.0,2.0,-5.9604644775390625e-06,0.36435707644881254,0.0,5.0,0.7335995435714722,5.180015563964844,0.0,360.9953918457031,99.99999181704001,0
40,2984063,2020-11-11 22:45:09+00:00,VH-VZI,737-800,QFA - 737-800 (1024 wps),YSCB,YBBN,41048120,Airborne Speed High,Level 2,Not a False Positive,428.0,448.0,8.0,0.0041961669921875,0.715657804155738,0.0,1.0,-0.7344724535942078,1.0124205564841247,0.0,1866.3486328125,99.99999181704001,0
41,2981361,2020-11-06 04:22:30+00:00,VH-XZK,737-800,QFA - 737-800 (1024 wps),YBHM,YBBN,41048338,Deep Touchdown,Level 2,Not a False Positive,5171.5,5191.5,0.0,-9.5367431640625e-05,0.05631407034361415,0.0,30.0,6.195634841918945,30.078183492024742,0.0,32.96216106414795,99.99999181704001,0
42,2981227,2020-11-05 22:59:42+00:00,VH-VZS,737-800,QFA - 737-800 (1024 wps),YPPH,YPKA,41048466,Climb Speed High,Level 2,Not a False Positive,521.0,543.0,10.0,0.0026014984631147543,0.055189695175058805,0.0,5.0,-0.8263902068138123,5.1087528950459244,2.0,41.995967864990234,99.99999181704001,0
43,2980733,2020-11-05 00:16:42+00:00,VH-XZE,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,41048649,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,478.75,498.75,37.0,-5.9604644775390625e-06,0.0068268344367700615,0.0,5.0,-1.0102835893630981,5.1087528950459244,0.0,9.419267416000366,99.99999181704001,0
44,2979337,2020-11-03 02:51:05+00:00,VH-VYA,737-800,QFA - 737-800 (1024 wps),YBCS,YBBN,41049066,Deep Touchdown,Level 2,Not a False Positive,7941.5,7961.5,2.0,-9.5367431640625e-05,0.030802347252433863,0.0,30.0,4.38247013092041,30.488339742024742,0.0,30.024085998535156,99.99999181704001,0
45,2979189,2020-11-02 21:09:21+00:00,VH-XZJ,737-800,QFA - 737-800 (1024 wps),YBBN,YBMA,41049224,Deep Touchdown,Level 2,Not a False Positive,7786.0,7806.0,0.0,0.0041961669921875,0.0358556433547084,0.0,30.0,8.901509284973145,29.892607371012367,0.0,1111.966796875,99.99999181704001,0
46,2979054,2020-11-02 08:34:46+00:00,VH-XZI,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,41049288,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,759.0,5996.0,0.0,5.146303225126476e-06,0.10539165069673159,0.0,0.0,-1.8387593030929565,0.014252554725956273,5217.0,1000.6561889648438,99.99999181704001,1
47,2977248,2020-10-29 06:06:34+00:00,VH-VZT,737-800,QFA - 737-800 (1024 wps),YPPH,YSOL,41049988,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,6077.0,6099.0,4.0,-0.0002126224705430328,0.01820957665769029,0.0,30.0,2.561817169189453,29.980497996012367,2.0,2011.4971923828125,99.99999181704001,0
48,2976852,2020-10-28 22:45:04+00:00,VH-VZK,737-800,QFA - 737-800 (1024 wps),YPPH,YPKG,41050085,Climb Speed High,Level 2,Not a False Positive,516.0,538.0,0.0,0.0026014984631147543,0.006853590227202509,0.0,5.0,-1.0102835893630981,5.2037697869378166,2.0,52.569644927978516,99.99999181704001,0
49,2976869,2020-10-28 22:12:22+00:00,VH-VZS,737-800,QFA - 737-800 (1024 wps),YPPH,YSOL,41050118,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,720.75,740.75,6.0,-0.00152587890625,0.01290344300383719,0.0,5.0,-1.4703545570373535,5.1087528950459244,0.0,53.29512596130371,99.99999181704001,0
50,2976061,2020-10-27 05:37:37+00:00,VH-XZC,737-800,QFA - 737-800 (1024 wps),YBBN,YBMK,41050443,Rotation Speed High,Level 2,Not a False Positive,1079.25,1099.25,14.0,-9.5367431640625e-05,0.03590836717375544,0.0,5.0,-1.1942540407180786,5.084998672072952,0.0,6.1473082304000854,99.99999181704001,0
51,2975966,2020-10-26 23:54:19+00:00,VH-VZK,737-800,QFA - 737-800 (1024 wps),YNWN,YPPH,41050542,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,403.0,6028.0,0.0,1.582516332901201e-05,0.01598346202254655,0.0,5.0,-0.36699384450912476,5.2037697869378166,5605.0,1717.5584716796875,99.99999181704001,1
52,2975860,2020-10-26 21:43:42+00:00,VH-VZK,737-800,QFA - 737-800 (1024 wps),YPPH,YNWN,41050571,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,3609.0,5396.0,14.0,0.00025714334509141496,0.22035809362655107,0.0,0.0,-1.2862682342529297,0.023754256802636226,1767.0,1687.6640380859376,99.99999181704001,1
53,2975389,2020-10-25 22:38:16+00:00,VH-VYF,737-800,QFA - 737-800 (1024 wps),YSCB,YBBN,41050779,Rotation Speed High,Level 2,Not a False Positive,431.25,451.25,4.0,-9.5367431640625e-05,0.013285613042066796,0.0,5.0,-0.918327271938324,5.013735487654403,0.0,1866.4807434082031,99.99999181704001,0
54,2974934,2020-10-25 03:04:04+00:00,VH-VYJ,737-800,QFA - 737-800 (1024 wps),YPDN,YSSY,41051021,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,8108.0,8137.0,0.0,7.097111191860466e-05,0.2859442079312081,0.0,0.0,-0.918327271938324,0.009501702882148124,9.0,473.09710998535155,99.99999181704001,1
57,2972668,2020-10-20 05:03:30+00:00,VH-VZY,737-800,QFA - 737-800 (1024 wps),YPPH,YPKA,41051870,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,390.0,410.0,10.0,0.00133514404296875,0.4119632124246296,0.0,1.0,-1.1942540407180786,0.9988394041319151,0.0,54.258544921875,99.99999181704001,0
58,2971626,2020-10-17 05:12:39+00:00,VH-XZM,737-800,QFA - 737-800 (1024 wps),YBRM,YPPH,41052398,Deep Touchdown,Level 2,Not a False Positive,8150.5,8170.5,0.0,-9.5367431640625e-05,0.04216587549207264,0.0,30.0,3.928011894226074,29.980497996012367,0.0,52.75984764099121,99.99999181704001,0
59,2968622,2020-10-11 22:51:42+00:00,VH-VZZ,737-800,QFA - 737-800 (1024 wps),YPPH,YBBN,41053558,Deep Touchdown,Level 2,Not a False Positive,14797.0,14817.0,0.0,-9.5367431640625e-05,0.043047553229360144,0.0,30.0,3.837063789367676,29.951201121012367,0.0,31.53205680847168,99.99999181704001,0
60,2967699,2020-10-10 00:07:35+00:00,VH-VXA,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,41053710,Climb Speed High,Level 2,Not a False Positive,656.0,684.0,2.0,-1.8533319234848022e-05,0.3478000590780922,0.0,5.0,0.6419887542724609,5.180015563964844,8.0,365.7034912109375,99.99999181704001,0
62,2984265,2020-11-10 08:35:33+00:00,VH-XZF,737-800,QFA - 737-800 (1024 wps),YSSY,YPAD,41047553,GPWS: Sink Rate,Level 2,Not a False Positive,8435.0,8456.0,8.0,0.0005548650568181819,0.06946727884108178,0.0,30.0,3.837063789367676,29.980497996012367,1.0,11.921581268310547,99.99999181704001,0
64,2984187,2020-11-10 02:58:42+00:00,VH-XZO,737-800,QFA - 737-800 (1024 wps),YPDN,YSSY,41047884,Thrust Reversers Delayed During Landing,Level 2,Not a False Positive,14992.5,15074.25,6.0,0.00018994778681654057,0.033219939026751966,0.0,30.0,4.0189409255981445,30.195370992024742,61.75,10.157448768615723,99.99999181704001,0
65,2949156,2020-09-01 01:52:23+00:00,VH-XZK,737-800,QFA - 737-800 (1024 wps),YNWN,YPPH,41060400,GPWS: Windshear Warning,Level 2,Not a False Positive,5971.0,5994.0,2.0,-0.00026982005049542684,0.02282113685440869,0.0,30.0,2.2880685329437256,30.078183492024742,3.0,63.100772857666016,99.99999181704001,0
66,2964998,2020-10-06 01:41:15+00:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,41054530,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,457.25,477.25,2.0,-9.5367431640625e-05,0.5287437589656913,0.0,1.0,-1.1942540407180786,1.0034061334072015,0.0,15.927435636520386,99.99999181704001,0
67,2963982,2020-10-04 06:05:31+00:00,VH-XZE,737-800,QFA - 737-800 (1024 wps),YPAD,YBBN,41054970,MMO Exceedance,Level 2,Not a False Positive,2030.0,2053.0,0.0,0.00042799042492378046,0.15343399857639883,0.0,0.0,-1.1022591590881348,0.009501702882148124,3.0,127.9527587890625,99.99999181704001,0
68,2963300,2020-10-02 02:28:52+00:00,VH-XZE,737-800,QFA - 737-800 (1024 wps),YPDN,YPAD,41055337,High Vertical Acceleration at Landing,Level 3,Not a False Positive,11832.25,11858.25,0.0,-0.0004359654017857143,0.06977397290582371,0.0,30.0,3.063245177268982,30.136777242024742,6.0,15.867193698883057,99.99999181704001,0
69,2962710,2020-10-01 03:37:32+00:00,VH-VXE,737-800,QFA - 737-800 (1024 wps),YFDF,YPPH,41055489,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,2912.0,5982.5,0.0,2.0815096260940702e-05,0.15793321791123116,0.0,0.0,0.36704155802726746,0.004750851441074062,3050.5,1593.8320190429688,99.99999181704001,1
70,2961783,2020-09-29 00:57:28+00:00,VH-XZC,737-800,QFA - 737-800 (1024 wps),YNWN,YPPH,41055925,Rotation Speed High,Level 2,Not a False Positive,387.0,407.0,0.0,-0.8333683013916016,0.005764254571728925,0.0,15.0,-1.8387593030929565,15.234418233235676,0.0,1712.6956787109375,99.99999181704001,0
71,2961454,2020-09-28 02:20:22+00:00,VH-VZI,737-800,QFA - 737-800 (1024 wps),YBBN,YBHM,41056100,Short Runway Distance Remaining,Level 2,Not a False Positive,5593.5,5613.5,2.0,-9.5367431640625e-05,0.09585448656589848,0.0,40.0,4.109851360321045,40.0,0.0,11.670458316802979,99.99999181704001,0
72,2944932,2020-08-23 01:32:33+00:00,VH-VYZ,737-800,QFA - 737-800 (1024 wps),YBAS,YPDN,41061860,Deep Touchdown,Level 2,Not a False Positive,6832.75,6852.75,2.0,-9.5367431640625e-05,0.0554246097034425,0.0,30.0,7.804953098297119,30.136777242024742,0.0,87.13401222229004,99.99999181704001,0
73,2961382,2020-09-27 22:39:30+00:00,VH-VYE,737-800,QFA - 737-800 (1024 wps),YPAD,YBAS,41056189,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,489.5,509.5,2.0,0.00133514404296875,0.3737847896558424,0.0,1.0,-1.1022591590881348,1.0124205564841247,0.0,15.241172313690186,99.99999181704001,0
75,2944487,2020-08-21 06:15:14+00:00,VH-XZK,737-800,QFA - 737-800 (1024 wps),YBBN,YPAD,41062065,Pitch Rate Low During Rotation,Level 2,Not a False Positive,439.75,463.75,0.0,-0.0003260950888356855,0.020028561464992004,0.0,5.0,-1.378301739692688,5.180015563964844,4.0,6.148996949195862,99.99999181704001,0
76,2976576,2020-10-28 06:08:15+00:00,VH-VYF,737-800,QFA - 737-800 (1024 wps),YBBN,YBMK,41050244,Rotation Speed High,Level 3,Not a False Positive,526.0,546.0,19.0,-9.5367431640625e-05,0.3420550114546343,0.0,5.0,-0.7344724535942078,5.013735487654403,0.0,22.479135513305664,99.99999181704001,0
77,2958633,2020-09-21 23:47:12+00:00,VH-VYF,737-800,QFA - 737-800 (1024 wps),YBBN,YPAD,41057213,GPWS: Pull Up,Level 2,Bad Parameter: Bad Sensor on Airplane,9663.0,9683.0,0.0,-9.5367431640625e-05,0.020759375056941594,0.0,30.0,4.109851360321045,30.019589742024742,0.0,18.06449317932129,99.99999181704001,1
78,2958633,2020-09-21 23:47:12+00:00,VH-VYF,737-800,QFA - 737-800 (1024 wps),YBBN,YPAD,41057215,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,2268.0,9687.5,0.0,2.3684909713261147e-06,0.1387029247668231,0.0,0.0,-1.0102835893630981,0.0,7399.5,1635.1705810546875,99.99999181704001,1
79,2956792,2020-09-16 22:33:26+00:00,VH-VXA,737-800,QFA - 737-800 (1024 wps),YPAD,YBAS,41057784,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,412.5,432.5,0.0,-0.00152587890625,0.01394847113712366,0.0,1.0,0.4587097465991974,1.021435028467423,0.0,14.688055515289307,99.99999181704001,0
80,2953023,2020-09-10 09:43:02+00:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YPKA,YPPH,41058796,Rotation Speed High,Level 2,Not a False Positive,450.0,470.0,0.0,0.00133514404296875,0.007697406272628798,0.0,10.0,-1.1942540407180786,10.302753448486328,0.0,19.06477928161621,99.99999181704001,0
81,2953028,2020-09-10 09:27:04+00:00,VH-VYZ,737-800,QFA - 737-800 (1024 wps),YPAD,YPPH,41058900,High Speed Below 5000 ft AAL,Level 3,Not a False Positive,12179.0,12215.0,2.0,0.00032537123736213236,0.04875612696576869,0.0,0.0,-0.918327271938324,0.01900340576429625,16.0,846.9540405273438,99.99999181704001,0
82,2952678,2020-09-09 22:36:28+00:00,VH-XZM,737-800,QFA - 737-800 (1024 wps),YPPH,YGIA,41058998,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,524.25,544.25,2.0,0.002765655517578125,0.3858140608251098,0.0,5.0,-1.6084725260734558,5.0374897106273755,0.0,52.79687786102295,99.99999181704001,0
83,2952890,2020-09-09 22:36:26+00:00,VH-XZA,737-800,QFA - 737-800 (1024 wps),YBBN,YPDN,41059068,Deep Touchdown,Level 2,Not a False Positive,14890.5,14910.5,0.0,-9.5367431640625e-05,0.04329347586906611,0.0,30.0,4.745699405670166,30.136777242024742,0.0,88.00623321533203,99.99999181704001,0
84,2952101,2020-09-08 06:22:53+00:00,VH-XZI,737-800,QFA - 737-800 (1024 wps),YPPH,YGIA,41059291,Speed Brakes Used During Final Approach,Level 2,Bad Parameter: Bad Sensor on Airplane,6408.0,6428.0,4.0,-0.00152587890625,0.016860187399042006,0.0,30.0,4.745699405670166,30.078183492024742,0.0,1410.0438232421875,99.99999181704001,1
86,2950413,2020-09-04 00:19:31+00:00,VH-XZK,737-800,QFA - 737-800 (1024 wps),YGIA,YPPH,41059832,Speed Brakes Used During Final Approach,Level 2,Bad Parameter: Bad Sensor on Airplane,6705.5,6725.5,0.0,0.00026226043701171875,0.047011756464538104,0.0,30.0,4.38247013092041,30.019589742024742,0.0,62.5632381439209,99.99999181704001,1
