flight_record,flight_date_exact,tail_number,airframe,fleet,takeoff_airport_code,landing_airport_code,p14_event_record,p14_event_type,p14_severity,p14_false_positive,p14_start_of_event_10_seconds_seconds_from_start_of_file,p14_end_of_event_10_seconds_seconds_from_start_of_file,p14_data_dropouts_seconds,p14_error_b_w_gmt_and_recorded_time_around_event_percent,p14_estimated_nav_error_at_start_of_event_nm,p14_standard_deviation_of_sample_rate_of_gmt_event_interval_30_seconds_hz,p14_flap_handle_position_at_start_of_event,p14_speed_brake_handle_position_at_start_of_event_deg,p14_flap_position_at_start_of_event_deg_ted,target
2869387,25/02/2020 6:13,VH-VXD,737-800,QFA - 737-800 (1024 wps),YPPH,YPAD,40509975,Airborne Speed High,Level 2,Not a False Positive,609,629,0,-9.54E-05,0.02429009,0,5,0.641988754,5.203769787,0
2869366,25/02/2020 7:03,VH-VYF,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40509984,High Vertical Acceleration at landing,Level 2,Not a False Positive,5611.25,5637.25,2,-4.36E-04,0.038936394,0,30,4.200743198,30.00981681,0
2869228,25/02/2020 3:32,VH-XZN,737-800,QFA - 737-800 (1024 wps),YNWN,YPPH,40510130,Airborne Speed High,Level 2,Not a False Positive,688,708,0,-9.54E-05,0.009927619,0,10,-1.286268234,10.30275345,0
2869620,25/02/2020 17:05,VH-VZK,737-800,QFA - 737-800 (1024 wps),NZAA,YMML,40510312,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,662,682,0,-0.001525879,0.032997854,0,1,-1.194254041,1.030449452,0
2868605,24/02/2020 17:17,VH-XZG,737-800,QFA - 737-800 (1024 wps),NZCH,YSSY,40511060,TCAS Resolution Advisory,Level 2,Not a False Positive,10624,10663,2,-0.001690542,0.008318988,0,5,-1.654518247,5.180015564,0
2867929,23/02/2020 23:21,VH-VXA,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40511218,Rotation Speed High,Level 2,Not a False Positive,1845,1865,0,-0.001525879,0.004431773,0,5,0.458709747,5.180015564,0
2867929,23/02/2020 23:21,VH-VXA,737-800,QFA - 737-800 (1024 wps),YMML,YPAD,40511220,Airborne Speed High,Level 2,Not a False Positive,1850,1871,0,5.55E-04,0.002678795,0,5,0.458709747,5.180015564,0
2867312,23/02/2020 4:58,VH-XZC,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40511628,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1254.75,1274.75,12,-9.54E-05,0.010313153,0,1,-1.884834111,1.007913345,0
2867271,23/02/2020 1:15,VH-VZU,737-800,QFA - 737-800 (1024 wps),NZCH,YMML,40512194,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,570,590,0,2.62E-04,0.034769869,0,1,-0.826390207,0.998839404,0
2866830,22/02/2020 11:23,VH-XZB,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40512233,Rotation Speed High,Level 2,Not a False Positive,933,953,0,0.001335144,0.030286952,0,5,-1.194254041,5.013735488,0
2866506,22/02/2020 2:06,VH-VYA,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40512261,Climb Speed Low,Level 2,Not a False Positive,472,495,0,4.28E-04,0.002821941,0,5,-0.734472454,4.979736225,0
2865876,21/02/2020 6:51,VH-XZN,737-800,QFA - 737-800 (1024 wps),YPAD,YPPH,40513337,GPWS: Windshear Warning,Level 2,Not a False Positive,10420,10444,2,0.001058271,0.004446855,0,30,4.018940926,30.25396474,0
2865229,20/02/2020 19:36,VH-XZP,737-800,QFA - 737-800 (1024 wps),YPAD,YBBN,40513759,Airborne Speed High,Level 2,Not a False Positive,579,599,2,0.004196167,0.025942958,0,1,-1.470354557,1.007913345,0
2865010,20/02/2020 8:33,VH-VXD,737-800,QFA - 737-800 (1024 wps),YGIA,YPPH,40513778,Pitch Attitude High During Rotation (Gears Extended),Level 3,Not a False Positive,579.5,599.5,2,0.001335144,0.040625186,0,5,0.916763902,5.22752401,0
2864851,20/02/2020 5:45,VH-VYI,737-800,QFA - 737-800 (1024 wps),YPKA,YPPH,40514012,Airborne Speed High,Level 2,Not a False Positive,613,634,0,5.55E-04,0.03440688,0,5,-1.194254041,5.180015564,0
2865237,20/02/2020 18:16,VH-VZX,737-800,QFA - 737-800 (1024 wps),NZCH,YBBN,40514071,GPWS: Windshear Warning,Level 2,Bad Parameter: Bad Sensor on Airplane,11960,13856.5,2,3.90E-05,0.003876055,0,0,-0.826390207,0.004750851,1
2864157,19/02/2020 21:38,VH-VYH,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40514571,Deep Touchdown,Level 2,Not a False Positive,4625,4645,0,0.833892822,0.013144347,0,30,4.10985136,30.25396474,0
2863780,19/02/2020 7:50,VH-VZF,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40514673,Airborne Speed High,Level 2,Not a False Positive,1022,1042,7,-9.54E-05,0.008182516,0,5,-1.194254041,5.061244449,0
2863711,19/02/2020 6:26,VH-VZC,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40514775,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,969,989,6,-9.54E-05,0.008914647,0,5,-1.37830174,5.132507118,0
2863737,19/02/2020 7:10,VH-VZQ,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40514814,Airborne Speed High,Level 2,Not a False Positive,358,378,2,-9.54E-05,0.017502037,0,5,-0.366993845,5.037489711,0
2863801,19/02/2020 8:35,VH-VXQ,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40514854,High Speed Below 5000 ft AAL,Level 2,Not a False Positive,4375,4412,0,-3.56E-04,0.04344638,0,0,0.733599544,0.009501703,0
2863464,19/02/2020 1:42,VH-VXF,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40515190,Airborne Speed High,Level 2,Not a False Positive,576,597,2,2.00E-04,0.009587068,0,5,-1.194254041,4.908473556,0
2863572,19/02/2020 2:24,VH-XZI,737-800,QFA - 737-800 (1024 wps),NZQN,YSSY,40515316,Airborne Speed High,Level 2,Not a False Positive,433,455,2,-2.13E-04,0.013303805,0,25,-1.746629119,25.04885356,0
2863008,18/02/2020 20:52,VH-VZH,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40515465,Pitch Rate Low during Rotation,Level 2,Bad Parameter: Short-term Data Dropout,88,112,4,254.0322088,0.114532654,0,5,-0.366993845,5.061244449,1
2863008,18/02/2020 20:52,VH-VZH,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40515466,Pitch Attitude High During Rotation (Gears Extended),Level 3,Bad Parameter: Short-term Data Dropout,88.25,108.25,4,262.4987602,0.104310196,0,5,-0.366993845,5.061244449,1
2863495,18/02/2020 23:19,VH-VXK,737-800,QFA - 737-800 (1024 wps),YPPH,YBBN,40515548,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,794.25,814.25,0,-0.001525879,0.039227079,0,5,-1.286268234,5.132507118,0
2862796,18/02/2020 10:14,VH-VYH,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40515555,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,5530,5552,2,-2.13E-04,0.019282519,0,30,4.10985136,30.25396474,0
2862801,18/02/2020 10:06,VH-VXF,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40515591,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,5299,5321,2,-2.13E-04,0.019119808,0,30,1.740059972,29.980498,0
2862756,18/02/2020 9:15,VH-VXR,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40515834,High Speed Below 5000 ft AAL,Level 2,Not a False Positive,5381,5402,4,5.55E-04,0.035292152,0,0,0.458709747,0,0
2862566,18/02/2020 4:17,VH-VZO,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40516061,Airborne Speed High,Level 2,Not a False Positive,715,736,16,5.55E-04,0.024144699,0,5,-1.010283589,5.180015564,0
2862364,17/02/2020 22:30,VH-XZH,737-800,QFA - 737-800 (1024 wps),YPPH,YNWN,40516153,Airborne Speed High,Level 2,Not a False Positive,789,809,4,0.004196167,0.013366376,0,5,-1.654518247,5.108752895,0
2862206,17/02/2020 21:56,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40516396,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1002.25,1022.25,0,0.002765656,0.03010067,0,5,-0.596634299,5.013735488,0
2861806,17/02/2020 5:16,VH-VYB,737-800,QFA - 737-800 (1024 wps),YMML,YBBN,40516703,Airborne Speed High,Level 2,Not a False Positive,433,453,2,-9.54E-05,0.018425838,0,5,-0.642573953,5.203769787,0
2861435,17/02/2020 0:52,VH-VZA,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40516826,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1556.5,1576.5,2,-5.96E-06,0.022451983,0,1,-0.550694644,1.021435028,0
2861888,17/02/2020 6:47,VH-XZA,737-800,QFA - 737-800 (1024 wps),YSSY,NZAA,40516888,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,831,851,0,-9.54E-05,0.011781172,0,5,-1.37830174,5.108752895,0
2861810,17/02/2020 3:54,VH-VXR,737-800,QFA - 737-800 (1024 wps),YPAD,YPPH,40517015,GPWS: Sink Rate,Level 2,Not a False Positive,11812,11833,2,5.55E-04,0.011981467,0,30,3.928011894,30.07818349,0
2861365,16/02/2020 23:32,VH-VZW,737-800,QFA - 737-800 (1024 wps),YMHB,YMML,40517174,Airborne Speed High,Level 2,Not a False Positive,503,523,4,0.004196167,0.038527328,0,1,-1.562426805,1.007913345,0
2860888,16/02/2020 7:03,VH-XZD,737-800,QFA - 737-800 (1024 wps),YPAD,YMML,40517561,Airborne Speed High,Level 2,Not a False Positive,716,736,0,-9.54E-05,0.003918484,0,1,-1.194254041,1.012420556,0
2861004,16/02/2020 7:47,VH-XZF,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40517838,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,9834,9856,2,-2.13E-04,0.006574467,0,30,3.746097088,29.95120112,0
2860712,16/02/2020 2:56,VH-VYI,737-800,QFA - 737-800 (1024 wps),YBCS,YBBN,40517856,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,499.25,519.25,0,-9.54E-05,0.007460812,0,1,-1.286268234,1.021435028,0
2860679,16/02/2020 0:37,VH-VYC,737-800,QFA - 737-800 (1024 wps),YPPH,YPDN,40518063,Airborne Speed High,Level 2,Not a False Positive,392,414,2,-3.67E-05,0.006598974,0,1,-1.562426805,1.016927768,0
2860301,15/02/2020 8:06,VH-XZK,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40518084,Late Land Flap Selection,Level 2,Not a False Positive,5273,5293,0,0.833892822,0.002821798,0,30,2.288068533,16.58207703,0
2860319,15/02/2020 9:11,VH-VZA,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40518203,Rotation Speed High,Level 2,Not a False Positive,1128.75,1148.75,0,-0.001525879,0.004958254,0,5,-1.37830174,5.156261341,0
2860319,15/02/2020 9:11,VH-VZA,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40518204,Airborne Speed High,Level 2,Not a False Positive,1136,1156,0,-0.001525879,0.006845927,0,5,-1.37830174,5.180015564,0
2859761,14/02/2020 22:09,VH-XZN,737-800,QFA - 737-800 (1024 wps),YMML,YBCS,40518609,Deep Touchdown,Level 2,Not a False Positive,10938,10958,4,2.62E-04,0.021007563,0,30,10.60672092,30.25396474,0
2859513,14/02/2020 9:45,VH-VXD,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40518816,MMO Exceedance,Level 2,Not a False Positive,3373,3396,0,0.001823611,0.003949141,0,0,1.008317471,0.014252555,0
2859042,14/02/2020 1:08,VH-XZO,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40519279,Airborne Speed High,Level 2,Not a False Positive,717,737,2,2.62E-04,0.003131946,0,5,-1.470354557,5.156261341,0
2858714,13/02/2020 22:43,VH-VYD,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40519414,Rotation Speed High,Level 2,Not a False Positive,870.25,890.25,8,0.002765656,0.034911816,0,5,-1.194254041,4.965483691,0
2858714,13/02/2020 22:43,VH-VYD,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40519415,Airborne Speed High,Level 2,Not a False Positive,876,898,8,0.002601498,0.032476152,0,5,-1.194254041,4.965483691,0
2858142,13/02/2020 5:10,VH-VYA,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40519920,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,430,450,4,-9.54E-05,0.024581847,0,5,-0.734472454,4.979736225,0
2858183,13/02/2020 5:26,VH-VZG,737-800,QFA - 737-800 (1024 wps),YBBN,YMML,40520050,Late Land Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,7875,7895,0,-9.54E-05,0.004451898,0,30,3.837063789,16.40629578,1
2857989,13/02/2020 2:16,VH-VZG,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40520095,Late Land Flap Selection,Level 2,Bad Parameter: Bad Sensor on Airplane,4795,4815,10,-9.54E-05,0.003844517,0,30,3.837063789,17.92973582,1
2857869,13/02/2020 0:02,VH-VZG,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40520105,Late Land Flap Selection,Level 2,Bad Parameter: Cause Unknown,4325,4345,2,0.833535194,0.004692224,0,40,3.837063789,26.22072983,1
2857820,12/02/2020 22:15,VH-VXD,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40520215,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,330,350,2,-0.001525879,0.026427995,0,1,1.008317471,1.021435028,0
2857499,12/02/2020 20:36,VH-VXI,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40520276,Pitch Attitude High During Rotation (Gears Extended),Level 2,Bad Parameter: Bad Sensor on Airplane,673,693,8,-0.001525879,0.013156556,0,5,-1.37830174,5.084998672,1
2858012,13/02/2020 0:40,VH-VZS,737-800,QFA - 737-800 (1024 wps),YPPH,YPDN,40520414,Airborne Speed High,Level 2,Not a False Positive,479,500,2,2.29E-05,0.004522217,0,5,-0.826390207,5.108752895,0
2857473,12/02/2020 20:16,VH-VZG,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40520444,Late Land Flap Selection,Level 2,Bad Parameter: Cause Unknown,4564,4584,0,-0.001525879,0.007817855,0,30,3.837063789,25.45900981,1
2857279,12/02/2020 9:00,VH-VZG,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40520539,Late Land Flap Selection,Level 2,Bad Parameter: Cause Unknown,6080,6100,0,-0.001525879,0.003310704,0,40,-1.37830174,25.37111918,1
2857248,12/02/2020 8:44,VH-VXU,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40520699,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1507.75,1527.75,0,-8.11E-04,0.025357824,0,5,-0.366993845,5.132507118,0
2857301,12/02/2020 9:32,VH-VZR,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40520732,Thrust reversers delayed during landing,Level 2,Not a False Positive,6275,6356.75,0,8.98E-04,0.00616864,0,30,5.199316025,29.71682485,0
2857146,12/02/2020 5:45,VH-VYH,737-800,QFA - 737-800 (1024 wps),YPPH,YPKA,40520898,Airborne Speed High,Level 2,Not a False Positive,899,920,8,-8.64E-04,0.013404952,0,1,-0.918327272,1.012420556,0
2857154,12/02/2020 4:54,VH-VYZ,737-800,QFA - 737-800 (1024 wps),NWWW,YSSY,40521038,Rotation Speed High,Level 2,Not a False Positive,863.5,883.5,0,-9.54E-05,0.027840549,0,5,-0.642573953,5.156261341,0
2857154,12/02/2020 4:54,VH-VYZ,737-800,QFA - 737-800 (1024 wps),NWWW,YSSY,40521041,Airborne Speed High,Level 2,Not a False Positive,868,890,0,0.001194438,0.02276765,0,5,-0.734472454,5.132507118,0
2856893,12/02/2020 0:48,VH-VZO,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40521238,Airborne Speed High,Level 2,Not a False Positive,3743,3763,2,-9.54E-05,0.031740596,0,5,-0.366993845,5.180015564,0
2856089,10/02/2020 3:26,VH-VZU,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40521633,Thrust reversers delayed during landing,Level 2,Not a False Positive,5445.5,5527,2,-3.91E-04,0.038830649,0,30,4.291615963,30.01958974,0
2856196,11/02/2020 5:13,VH-VZY,737-800,QFA - 737-800 (1024 wps),YPAD,YSSY,40521658,Speed Brakes Used During Final Approach,Level 2,Not a False Positive,6528,6548,2,-9.54E-05,0.004744414,0,30,3.746097088,28.66213608,0
2856034,11/02/2020 3:16,VH-VXM,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40521883,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,799.5,819.5,0,-9.54E-05,0.006943314,0,5,-1.102259159,5.084998672,0
2855970,11/02/2020 2:06,VH-VZP,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40522104,Airborne Speed High,Level 2,Not a False Positive,460,480,6,-9.54E-05,0.004205072,0,5,-0.826390207,5.061244449,0
2855844,9/02/2020 6:49,VH-VZL,737-800,QFA - 737-800 (1024 wps),YSCB,YPAD,40522265,Deep Touchdown,Level 2,Not a False Positive,5148.5,5168.5,0,0.001335144,0.009978715,0,30,3.928011894,30.07818349,0
2855844,9/02/2020 6:49,VH-VZL,737-800,QFA - 737-800 (1024 wps),YSCB,YPAD,40522274,Rotation Speed High,Level 2,Not a False Positive,561.5,581.5,0,-9.54E-05,0.011960911,0,5,-1.286268234,5.013735488,0
2855844,9/02/2020 6:49,VH-VZL,737-800,QFA - 737-800 (1024 wps),YSCB,YPAD,40522276,Airborne Speed High,Level 2,Not a False Positive,566,587,0,-8.64E-04,0.008797273,0,5,-1.286268234,5.013735488,0
2856047,11/02/2020 1:33,VH-XZF,737-800,QFA - 737-800 (1024 wps),YMML,NZAA,40522300,Pitch Attitude High During Rotation (Gears Extended),Level 3,Not a False Positive,909,929,0,-9.54E-05,0.012185004,0,25,-1.102259159,25.01955668,0
2855789,10/02/2020 8:57,VH-VXN,737-800,QFA - 737-800 (1024 wps),YMML,YSCB,40522445,Deep Touchdown,Level 2,Bad Parameter: Short-term Data Dropout,3054.5,3074.5,4,21.24872208,0.236834404,0,30,4.382470131,29.8633105,1
2855958,9/02/2020 5:26,VH-XZK,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40522484,Climb Speed High,Level 2,Not a False Positive,1919,1941,0,-2.13E-04,0.001422669,0,5,-1.286268234,5.180015564,0
2855828,10/02/2020 7:08,VH-VZT,737-800,QFA - 737-800 (1024 wps),YSSY,YBBN,40522568,Pitch Attitude High During Rotation (Gears Extended),Level 3,Bad Parameter: Short-term Data Dropout,1092,1112,43,6.667518616,0.471540828,0,5,-0.366993845,4.993988759,1
2855755,9/02/2020 9:30,VH-VXJ,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40522699,Pitch Attitude High During Rotation (Gears Extended),Level 3,Bad Parameter: Short-term Data Dropout,363.25,383.25,6,6.667518616,0.29022015,0,5,-1.1482566,4.951231157,1
2855883,9/02/2020 6:28,VH-VZM,737-800,QFA - 737-800 (1024 wps),YPAD,YSCB,40522883,VFE (Flap Airspeed Limit) Exceedance,Level 2,Not a False Positive,8992,9015,8,0.001823611,0.004610298,0,30,3.837063789,29.48244985,0
2855510,9/02/2020 8:44,VH-VYC,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40522895,Climb Speed High,Level 3,Not a False Positive,1024,1045,0,5.55E-04,0.004835919,0,5,-1.562426805,5.132507118,0
2855510,9/02/2020 8:44,VH-VYC,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40522896,Airborne Speed High,Level 2,Not a False Positive,1013,1033,0,-0.001525879,0.00935607,0,5,-1.562426805,5.132507118,0
2855926,9/02/2020 2:31,VH-VZS,737-800,QFA - 737-800 (1024 wps),YBAS,YSSY,40522959,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,12745,12767,14,-2.13E-04,0.009780026,0,30,2.014149666,30.07818349,0
2855535,9/02/2020 19:10,VH-VYG,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40523035,Pitch Attitude High During Rotation (Gears Extended),Level 3,Bad Parameter: Short-term Data Dropout,610.25,630.25,0,9.99917984,0.582732947,0,5,-0.918327272,5.180015564,1
2855514,9/02/2020 1:19,VH-VZA,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40523202,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,771.5,791.5,0,-3.333365917,0.016066702,0,5,-1.37830174,5.156261341,0
2854844,9/02/2020 6:28,VH-VZP,737-800,QFA - 737-800 (1024 wps),YSSY,YSCB,40523480,Airborne Speed High,Level 2,Not a False Positive,1989,2009,0,-9.54E-05,0.006468936,0,5,-0.734472454,5.037489711,0
2855159,10/02/2020 6:28,VH-VZX,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40523522,Pitch Attitude High During Rotation (Gears Extended),Level 3,Bad Parameter: Short-term Data Dropout,623.25,643.25,4,13.33370209,0.43240097,0,5,-1.562426805,5.084998672,1
2855460,9/02/2020 8:21,VH-XZF,737-800,QFA - 737-800 (1024 wps),YSSY,NZWN,40523541,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,739.25,759.25,2,-8.11E-04,0.033926373,0,5,-1.010283589,4.979736225,0
2855632,10/02/2020 4:32,VH-VXK,737-800,QFA - 737-800 (1024 wps),YMML,YPPH,40523827,Deep Touchdown,Level 3,Bad Parameter: Short-term Data Dropout,13610.5,13630.5,0,6.666088104,0.246237099,0,30,4.018940926,30.25396474,1
2853897,9/02/2020 3:10,VH-VXH,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40523875,Rotation Speed High,Level 2,Not a False Positive,534,554,0,6.20E-04,0.023186989,0,5,-0.918327272,4.979736225,0
2855059,8/02/2020 23:08,VH-VZS,737-800,QFA - 737-800 (1024 wps),YSSY,YBAS,40523894,Rotation Speed High,Level 2,Not a False Positive,1765,1785,0,0.004196167,0.033747259,0,5,-1.37830174,5.108752895,0
2854165,9/02/2020 1:08,VH-VZT,737-800,QFA - 737-800 (1024 wps),YSSY,NZQN,40523970,Airborne Speed High,Level 3,Not a False Positive,1354,1376,0,1.39E-04,0.044051419,0,5,-0.275172263,4.993988759,0
2853846,9/02/2020 3:27,VH-VZH,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40524044,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,686,706,2,-9.54E-05,0.027112645,0,5,-1.010283589,5.061244449,0
2853889,9/02/2020 0:12,VH-XZC,737-800,QFA - 737-800 (1024 wps),YSSY,NZAA,40524062,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1242.25,1262.25,0,-5.96E-06,0.020662204,0,5,-0.826390207,5.084998672,0
2854923,9/02/2020 2:19,VH-VXE,737-800,QFA - 737-800 (1024 wps),YPDN,YMML,40524139,Below Minimum Maneuver Speed,Level 2,Bad Parameter: Synchronization Error,444.75,14439.75,4,2.9584977,0.006306037,0,5,0.458709747,4.965483691,1
2853675,9/02/2020 1:58,VH-VXM,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40524197,GPWS: Sink Rate,Level 2,Not a False Positive,4704,4726,11,-2.13E-04,0.003464123,0,30,4.291615963,30.31255849,0
2855098,9/02/2020 2:10,VH-VYG,737-800,QFA - 737-800 (1024 wps),YSSY,YPPH,40524234,Airborne Speed High,Level 2,Not a False Positive,1354,1375,0,-1.54E-04,0.011774861,0,5,-0.826390207,5.180015564,0
2853803,9/02/2020 1:19,VH-VZR,737-800,QFA - 737-800 (1024 wps),YBBN,YBTL,40524351,Airborne Speed High,Level 2,Not a False Positive,582,602,2,2.62E-04,0.006325424,0,5,-1.37830174,4.951231157,0
2853535,8/02/2020 9:17,VH-VZJ,737-800,QFA - 737-800 (1024 wps),YSSY,NZCH,40524410,Rotation Speed Low,Level 2,Not a False Positive,381,401,0,-0.001525879,0.006680395,0,5,-0.550694644,5.013735488,0
2853719,9/02/2020 2:52,VH-XZN,737-800,QFA - 737-800 (1024 wps),YSSY,YBCS,40524420,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,566,586,4,-9.54E-05,0.0341589,0,5,-1.37830174,5.156261341,0
2853083,8/02/2020 7:03,VH-VZA,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40524429,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,271.5,291.5,0,6.20E-04,0.025529236,0,5,-1.37830174,5.156261341,0
2854827,8/02/2020 21:36,VH-VXH,737-800,QFA - 737-800 (1024 wps),YPPH,YSSY,40524500,GPWS: Sink Rate,Level 2,Not a False Positive,16184,16206,4,-2.13E-04,0.013890355,0,30,3.564107418,29.01369985,0
2854827,8/02/2020 21:36,VH-VXH,737-800,QFA - 737-800 (1024 wps),YPPH,YSSY,40524506,Approach Speed High Below 50 ft AGL (Vref),Level 2,Not a False Positive,16188,16208.5,4,-1.25E-04,0.019305917,0,30,3.564107418,29.01369985,0
2854827,8/02/2020 21:36,VH-VXH,737-800,QFA - 737-800 (1024 wps),YPPH,YSSY,40524507,High Bank Angle Descent Below 200 feet,Level 2,Not a False Positive,16184.75,16205,4,-1.10E-04,0.014920891,0,30,3.746059656,29.01369985,0
2852916,8/02/2020 4:23,VH-VXI,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40524522,Pitch Rate Low during Rotation,Level 2,Not a False Positive,340.75,364.75,0,-3.26E-04,0.009499484,0,5,-1.37830174,5.084998672,0
2853602,8/02/2020 23:32,VH-VZG,737-800,QFA - 737-800 (1024 wps),YSSY,YMML,40524529,Pitch Attitude High During Rotation (Gears Extended),Level 2,Not a False Positive,1333.25,1353.25,0,-0.001525879,0.023843691,0,5,0.137784932,5.156261341,0
2853895,9/02/2020 2:13,VH-VZE,737-800,QFA - 737-800 (1024 wps),YMML,YSSY,40524533,GPWS: Windshear Warning,Level 2,Not a False Positive,5236,5260,15,-3.22520656,0.003774506,0,30,3.746097088,29.95120112,0
2853772,9/02/2020 3:11,VH-XZF,737-800,QFA - 737-800 (1024 wps),NZWN,YSSY,40524553,Deep Touchdown,Level 2,Not a False Positive,13743,13763,4,-9.54E-05,0.024428337,0,30,11.94833279,30.07818349,0
2852895,8/02/2020 2:30,VH-VZF,737-800,QFA - 737-800 (1024 wps),YBHM,YSSY,40524676,Airborne Speed High,Level 2,Not a False Positive,351,371,0,-9.54E-05,0.012237546,0,25,-1.194254041,25.04885356,0
2852826,8/02/2020 1:47,VH-XZP,737-800,QFA - 737-800 (1024 wps),YMML,YMHB,40524725,Airborne Speed High,Level 2,Not a False Positive,596,617,0,-1.54E-04,0.00974214,0,5,-1.470354557,5.061244449,0
2852846,8/02/2020 1:24,VH-VYG,737-800,QFA - 737-800 (1024 wps),YBBN,YSSY,40524726,Deep Touchdown,Level 2,Not a False Positive,7179.5,7199.5,4,2.62E-04,0.010558474,0,30,4.745699406,30.07818349,0
2853046,8/02/2020 3:52,VH-VYH,737-800,QFA - 737-800 (1024 wps),YPAD,YPPH,40524809,Rotation Speed High,Level 2,Not a False Positive,678,698,2,-9.54E-05,0.031989571,0,5,-1.470354557,5.061244449,0
2852928,8/02/2020 2:33,VH-VZP,737-800,QFA - 737-800 (1024 wps),YPPH,YMML,40524956,High Speed Below 5000 ft AAL,Level 2,Not a False Positive,11396,11442,0,-0.685663093,0.016075543,0,0,-0.275172263,0,0
